YYYY MM DD HH MI LOC D MAG
2018 03 08 03 00 LRE Z 198
2018 03 08 05 00 LRE Y 175
2018 03 08 05 00 LRE Y 250
2018 03 08 11 00 LRE X 293
2018 03 08 11 00 LRE X 563
2018 03 08 11 00 LRE Y 278
2018 03 08 11 00 LRE Y 266
2018 03 08 11 00 LRE Z 430
2018 03 08 11 00 LRE F 615
2018 03 08 13 00 LRE X 126
2018 03 08 14 00 LRE X 108
2018 03 08 14 00 LRE F 195
2018 03 08 15 00 LRE X 1016
2018 03 08 15 00 LRE Z 604
2018 03 08 15 00 LRE F 149
2018 03 08 17 00 LRE Z 194
2018 03 08 17 00 LRE F 671
2018 03 08 18 00 LRE Y 295
2018 03 08 19 00 LRE Y 159
2018 03 08 05 00 LRO Y 157
2018 03 08 05 00 LRO Y 403
2018 03 08 11 00 LRO X 281
2018 03 08 11 00 LRO X 589
2018 03 08 11 00 LRO Y 299
2018 03 08 11 00 LRO Y 258
2018 03 08 11 00 LRO Z 261
2018 03 08 11 00 LRO F 511
2018 03 08 14 00 LRO X 298
2018 03 08 14 00 LRO F 99
2018 03 08 15 00 LRO X 128
2018 03 08 15 00 LRO Y 333
2018 03 08 18 00 LRO Y 178
2018 03 08 19 00 LRO Y 192
2018 03 08 20 00 LRO X 193
2018 03 08 22 00 LRO Z 99
2018 03 08 05 00 LRS Y 170
2018 03 08 05 00 LRS Y 213
2018 03 08 05 00 LRS Z 572
2018 03 08 11 00 LRS X 267
2018 03 08 11 00 LRS X 710
2018 03 08 11 00 LRS Y 239
2018 03 08 11 00 LRS Y 322
2018 03 08 11 00 LRS Z 428
2018 03 08 11 00 LRS F 503
2018 03 08 14 00 LRS F 156
2018 03 08 15 00 LRS Y 257
2018 03 08 21 00 LRS F 114
