YYYY MM DD HH MI LOC D MAG
2018 02 16 00 33 LRO Y 190
2018 02 16 00 50 LRO Y 110
2018 02 16 01 00 LRO Y 883
2018 02 16 02 09 LRO Y 576
2018 02 16 03 55 LRO X 148
2018 02 16 03 00 LRO Y 210
2018 02 16 03 22 LRO Y 102
2018 02 16 03 36 LRO Y 267
2018 02 16 03 50 LRO Y 368
2018 02 16 03 55 LRO Z 276
2018 02 16 03 55 LRO F 261
2018 02 16 04 51 LRO Y 115
2018 02 16 04 57 LRO Z 205
2018 02 16 04 57 LRO F 208
2018 02 16 05 00 LRO Y 244
2018 02 16 05 56 LRO Z 187
2018 02 16 05 56 LRO F 184
2018 02 16 06 00 LRO Y 228
2018 02 16 06 08 LRO Y 318
2018 02 16 06 23 LRO Y 127
2018 02 16 06 29 LRO Y 212
2018 02 16 06 36 LRO Y 119
2018 02 16 06 45 LRO Y 108
2018 02 16 06 52 LRO Y 134
2018 02 16 07 00 LRO Y 277
2018 02 16 07 14 LRO Y 195
2018 02 16 07 24 LRO Y 132
2018 02 16 07 39 LRO Y 348
2018 02 16 07 54 LRO Y 136
2018 02 16 09 00 LRO Y 865
2018 02 16 09 15 LRO Y 166
2018 02 16 12 00 LRO Y 958
2018 02 16 15 23 LRO Y 126
2018 02 16 15 02 LRO Z 156
2018 02 16 15 02 LRO F 143
2018 02 16 16 04 LRO Y 111
2018 02 16 16 02 LRO Z 128
2018 02 16 16 02 LRO F 124
2018 02 16 17 01 LRO Z 203
2018 02 16 17 02 LRO Z 128
2018 02 16 17 01 LRO F 193
2018 02 16 17 02 LRO F 117
2018 02 16 18 21 LRO Y 1057
2018 02 16 19 00 LRO Z 222
2018 02 16 19 00 LRO F 210
2018 02 16 20 49 LRO Y 884
2018 02 16 21 00 LRO Y 782
2018 02 16 23 31 LRO Y 114
2018 02 16 23 36 LRO Y 1330
2018 02 16 20 03 LRS Y 134
