YYYY MM DD HH MI LOC D MAG
2018 02 28 04 47 LRE Y 689
2018 02 28 04 58 LRE Y 144
2018 02 28 14 43 LRE Y 1252
2018 02 28 16 24 LRE X 178
2018 02 28 16 27 LRE X 151
2018 02 28 16 38 LRE X 170
2018 02 28 16 38 LRE X 101
2018 02 28 16 41 LRE X 176
2018 02 28 16 44 LRE X 199
2018 02 28 16 47 LRE X 143
2018 02 28 16 24 LRE Y 99
2018 02 28 16 41 LRE Y 103
2018 02 28 16 44 LRE Y 113
2018 02 28 16 24 LRE Z 124
2018 02 28 16 38 LRE Z 142
2018 02 28 16 41 LRE Z 133
2018 02 28 16 44 LRE Z 156
2018 02 28 17 37 LRE X 188
2018 02 28 17 41 LRE X 180
2018 02 28 17 43 LRE X 160
2018 02 28 17 48 LRE X 227
2018 02 28 17 55 LRE X 194
2018 02 28 17 58 LRE X 177
2018 02 28 17 37 LRE Y 156
2018 02 28 17 41 LRE Y 129
2018 02 28 17 48 LRE Y 157
2018 02 28 17 55 LRE Y 158
2018 02 28 17 37 LRE Z 138
2018 02 28 17 41 LRE Z 128
2018 02 28 17 48 LRE Z 189
2018 02 28 17 55 LRE Z 152
2018 02 28 18 03 LRE X 143
2018 02 28 18 08 LRE X 121
2018 02 28 18 16 LRE X 108
2018 02 28 18 24 LRE X 226
2018 02 28 18 27 LRE X 135
2018 02 28 18 42 LRE X 187
2018 02 28 18 49 LRE X 201
2018 02 28 18 54 LRE X 229
2018 02 28 18 57 LRE X 157
2018 02 28 18 03 LRE Z 108
2018 02 28 18 24 LRE Z 209
2018 02 28 18 42 LRE Z 127
2018 02 28 18 49 LRE Z 155
2018 02 28 18 54 LRE Z 210
2018 02 28 18 57 LRE Z 121
2018 02 28 19 02 LRE X 205
2018 02 28 19 06 LRE X 146
2018 02 28 19 16 LRE X 194
2018 02 28 19 19 LRE X 183
2018 02 28 19 22 LRE X 168
2018 02 28 19 39 LRE X 222
2018 02 28 19 45 LRE X 200
2018 02 28 19 57 LRE X 217
2018 02 28 19 02 LRE Y 169
2018 02 28 19 06 LRE Y 102
2018 02 28 19 16 LRE Y 117
2018 02 28 19 39 LRE Y 160
2018 02 28 19 45 LRE Y 100
2018 02 28 19 57 LRE Y 129
2018 02 28 19 02 LRE Z 171
2018 02 28 19 06 LRE Z 115
2018 02 28 19 16 LRE Z 161
2018 02 28 19 19 LRE Z 139
2018 02 28 19 22 LRE Z 115
2018 02 28 19 39 LRE Z 190
2018 02 28 19 45 LRE Z 170
2018 02 28 19 57 LRE Z 182
2018 02 28 20 06 LRE X 208
2018 02 28 20 11 LRE X 199
2018 02 28 20 17 LRE X 200
2018 02 28 20 33 LRE X 145
2018 02 28 20 38 LRE X 153
2018 02 28 20 54 LRE X 188
2018 02 28 20 06 LRE Y 117
2018 02 28 20 11 LRE Y 103
2018 02 28 20 06 LRE Z 137
2018 02 28 20 11 LRE Z 140
2018 02 28 20 17 LRE Z 120
2018 02 28 21 36 LRE X 116
2018 02 28 09 56 LRO Z 131
2018 02 28 09 58 LRO Z 102
2018 02 28 09 56 LRO F 118
2018 02 28 09 58 LRO F 99
2018 02 28 12 02 LRO Y 130
2018 02 28 12 12 LRO Y 514
2018 02 28 12 35 LRO Y 152
2018 02 28 14 36 LRO Y 781
2018 02 28 21 13 LRO Y 1206
2018 02 28 22 03 LRO Y 205
2018 02 28 22 10 LRO Y 326
2018 02 28 14 38 LRS X 269
2018 02 28 14 38 LRS Y 166
2018 02 28 14 38 LRS Z 259
2018 02 28 16 16 LRS X 457
2018 02 28 16 19 LRS X 135
2018 02 28 16 16 LRS Y 348
2018 02 28 16 19 LRS Y 105
2018 02 28 16 16 LRS Z 454
2018 02 28 16 19 LRS Z 135
