YYYY MM DD HH MI LOC D MAG
2018 02 22 06 42 LRE Y 245
2018 02 22 16 11 LRE Y 179
2018 02 22 23 21 LRE Y 406
2018 02 22 00 46 LRO Y 423
2018 02 22 01 00 LRO Y 1258
2018 02 22 06 50 LRO Y 215
2018 02 22 06 55 LRO Y 188
2018 02 22 06 00 LRO Z 222
2018 02 22 06 00 LRO F 211
2018 02 22 07 30 LRO Y 225
2018 02 22 07 43 LRO Y 101
2018 02 22 07 02 LRO Z 99
2018 02 22 08 03 LRO Y 328
2018 02 22 13 22 LRO Y 109
2018 02 22 14 14 LRO Y 1211
2018 02 22 14 30 LRO Y 99
2018 02 22 14 48 LRO Z 138
2018 02 22 14 48 LRO F 121
2018 02 22 15 09 LRO Z 136
2018 02 22 15 17 LRO Z 124
2018 02 22 15 09 LRO F 133
2018 02 22 15 17 LRO F 106
2018 02 22 18 12 LRO Y 617
2018 02 22 19 02 LRO Z 189
2018 02 22 19 02 LRO F 174
2018 02 22 20 00 LRO Z 221
2018 02 22 20 00 LRO F 212
2018 02 22 22 01 LRO Z 103
2018 02 22 22 01 LRO F 102
2018 02 22 23 14 LRO Y 761
