YYYY MM DD HH MI LOC D MAG
2018 02 27 04 18 LRE X 332
2018 02 27 04 18 LRE Y 611
2018 02 27 07 43 LRE Y 112
2018 02 27 07 52 LRE Y 163
2018 02 27 08 00 LRE Y 174
2018 02 27 11 56 LRE Y 377
2018 02 27 12 15 LRE Y 351
2018 02 27 13 03 LRE Y 124
2018 02 27 17 03 LRE Y 901
2018 02 27 15 06 LRO Y 275
2018 02 27 17 12 LRO Y 219
2018 02 27 17 35 LRO Y 135
2018 02 27 23 33 LRO Y 1236
2018 02 27 08 43 LRS Z 104
2018 02 27 12 15 LRS Y 189
2018 02 27 15 51 LRS X 265
2018 02 27 15 51 LRS Y 169
2018 02 27 15 51 LRS Z 245
2018 02 27 16 29 LRS X 240
2018 02 27 16 38 LRS X 250
2018 02 27 16 44 LRS X 275
2018 02 27 16 29 LRS Y 233
2018 02 27 16 38 LRS Y 230
2018 02 27 16 44 LRS Y 100
2018 02 27 16 44 LRS Y 253
2018 02 27 16 29 LRS Z 242
2018 02 27 16 38 LRS Z 251
2018 02 27 16 44 LRS Z 274
2018 02 27 17 17 LRS X 142
2018 02 27 17 29 LRS X 197
2018 02 27 17 30 LRS X 482
2018 02 27 17 29 LRS Y 192
2018 02 27 17 30 LRS Y 438
2018 02 27 17 17 LRS Z 146
2018 02 27 17 29 LRS Z 194
2018 02 27 17 30 LRS Z 484
2018 02 27 18 15 LRS X 215
2018 02 27 18 19 LRS X 218
2018 02 27 18 15 LRS Z 201
2018 02 27 18 19 LRS Z 201
2018 02 27 19 24 LRS X 270
2018 02 27 19 32 LRS X 257
2018 02 27 19 32 LRS Y 140
2018 02 27 19 24 LRS Z 265
2018 02 27 19 32 LRS Z 247
