YYYY MM DD HH MI LOC D MAG
2018 03 11 03 00 LRE Z 465
2018 03 11 04 00 LRE X 2681
2018 03 11 04 00 LRE Z 2708
2018 03 11 06 00 LRE Y 305
2018 03 11 06 00 LRE Y 158
2018 03 11 06 00 LRE Z 188
2018 03 11 07 00 LRE Y 380
2018 03 11 07 00 LRE Z 180
2018 03 11 07 00 LRE Z 100
2018 03 11 07 00 LRE F 131
2018 03 11 14 00 LRE X 198
2018 03 11 14 00 LRE Z 141
2018 03 11 17 00 LRE Y 630
2018 03 11 21 00 LRE Z 326
2018 03 11 21 00 LRE F 139
2018 03 11 22 00 LRE X 946
2018 03 11 22 00 LRE Y 1332
2018 03 11 22 00 LRE Z 951
2018 03 11 05 00 LRO Z 137
2018 03 11 06 00 LRO Y 329
2018 03 11 06 00 LRO Y 159
2018 03 11 06 00 LRO Y 230
2018 03 11 06 00 LRO Z 142
2018 03 11 06 00 LRO Z 223
2018 03 11 06 00 LRO F 113
2018 03 11 07 00 LRO Y 411
2018 03 11 07 00 LRO Z 246
2018 03 11 07 00 LRO Z 181
2018 03 11 07 00 LRO F 299
2018 03 11 08 00 LRO Z 139
2018 03 11 08 00 LRO F 120
2018 03 11 15 00 LRO X 222
2018 03 11 21 00 LRO X 112
2018 03 11 21 00 LRO Z 206
2018 03 11 22 00 LRO X 293
2018 03 11 22 00 LRO X 334
2018 03 11 22 00 LRO Z 281
2018 03 11 03 00 LRS Z 134
2018 03 11 05 00 LRS Z 363
2018 03 11 06 00 LRS Y 315
2018 03 11 06 00 LRS Y 138
2018 03 11 06 00 LRS Z 217
2018 03 11 06 00 LRS Z 284
2018 03 11 06 00 LRS F 190
2018 03 11 06 00 LRS F 283
2018 03 11 07 00 LRS Y 353
2018 03 11 07 00 LRS Z 540
2018 03 11 07 00 LRS F 198
2018 03 11 15 00 LRS Z 137
2018 03 11 16 00 LRS X 2550
2018 03 11 16 00 LRS Z 2516
2018 03 11 20 00 LRS Y 169
2018 03 11 22 00 LRS X 345
