YYYY MM DD HH MI LOC D MAG
2018 03 06 05 00 LRE Y 266
2018 03 06 11 00 LRE Y 895
2018 03 06 12 00 LRE X 569
2018 03 06 12 00 LRE X 456
2018 03 06 12 00 LRE Y 890
2018 03 06 12 00 LRE Z 641
2018 03 06 12 00 LRE F 175
2018 03 06 13 00 LRE X 629
2018 03 06 13 00 LRE Y 317
2018 03 06 14 00 LRE Y 246
2018 03 06 14 00 LRE Z 526
2018 03 06 14 00 LRE F 407
2018 03 06 15 00 LRE Y 386
2018 03 06 16 00 LRE X 342
2018 03 06 16 00 LRE Y 135
2018 03 06 17 00 LRE X 229
2018 03 06 17 00 LRE Y 514
2018 03 06 18 00 LRE X 874
2018 03 06 19 00 LRE Y 185
2018 03 06 23 00 LRE Z 353
2018 03 06 03 00 LRO Z 129
2018 03 06 04 00 LRO Z 145
2018 03 06 04 00 LRO F 135
2018 03 06 05 00 LRO Y 286
2018 03 06 11 00 LRO Y 856
2018 03 06 12 00 LRO X 608
2018 03 06 12 00 LRO X 514
2018 03 06 12 00 LRO Y 897
2018 03 06 12 00 LRO Z 749
2018 03 06 12 00 LRO F 483
2018 03 06 13 00 LRO X 671
2018 03 06 13 00 LRO Y 310
2018 03 06 14 00 LRO Y 346
2018 03 06 14 00 LRO Z 460
2018 03 06 14 00 LRO F 384
2018 03 06 15 00 LRO Y 457
2018 03 06 15 00 LRO Z 475
2018 03 06 16 00 LRO X 363
2018 03 06 16 00 LRO Y 185
2018 03 06 17 00 LRO X 246
2018 03 06 17 00 LRO Y 688
2018 03 06 18 00 LRO X 819
2018 03 06 18 00 LRO Z 153
2018 03 06 19 00 LRO Y 283
2018 03 06 05 00 LRS Y 101
2018 03 06 11 00 LRS Y 803
2018 03 06 12 00 LRS X 293
2018 03 06 12 00 LRS X 442
2018 03 06 12 00 LRS Y 609
2018 03 06 12 00 LRS Z 887
2018 03 06 12 00 LRS F 674
2018 03 06 13 00 LRS X 547
2018 03 06 13 00 LRS Y 361
2018 03 06 14 00 LRS Y 242
2018 03 06 14 00 LRS Z 295
2018 03 06 14 00 LRS F 414
2018 03 06 15 00 LRS Y 122
2018 03 06 15 00 LRS Z 368
2018 03 06 16 00 LRS X 304
2018 03 06 16 00 LRS Y 204
2018 03 06 16 00 LRS Z 182
2018 03 06 16 00 LRS Z 116
2018 03 06 17 00 LRS Y 346
2018 03 06 18 00 LRS X 692
2018 03 06 19 00 LRS Y 262
