YYYY MM DD HH MI LOC D MAG
2018 02 13 04 56 LRO Z 134
2018 02 13 04 56 LRO F 118
2018 02 13 05 04 LRO Z 211
2018 02 13 05 04 LRO F 184
2018 02 13 08 04 LRO Z 123
2018 02 13 08 04 LRO F 115
2018 02 13 09 01 LRO Z 204
2018 02 13 09 01 LRO F 190
2018 02 13 12 57 LRO Z 254
2018 02 13 12 57 LRO F 248
2018 02 13 13 53 LRO X 188
2018 02 13 13 53 LRO Y 228
2018 02 13 15 57 LRO Z 248
2018 02 13 15 57 LRO F 241
2018 02 13 17 33 LRO Y 1225
2018 02 13 20 55 LRO Y 122
2018 02 13 20 01 LRO Z 144
2018 02 13 20 01 LRO F 132
2018 02 13 21 40 LRO Y 913
2018 02 13 21 55 LRO Z 256
2018 02 13 21 55 LRO F 240
2018 02 13 22 00 LRO Y 913
2018 02 13 22 02 LRO Z 169
2018 02 13 22 56 LRO Z 197
2018 02 13 22 02 LRO F 166
2018 02 13 22 56 LRO F 197
2018 02 13 03 22 LRS X 149
2018 02 13 05 53 LRS X 142
