YYYY MM DD HH MI LOC D MAG
2018 02 23 04 46 LRE X 880
2018 02 23 04 57 LRE X 109
2018 02 23 04 46 LRE Y 721
2018 02 23 04 57 LRE Y 108
2018 02 23 04 46 LRE F 182
2018 02 23 04 49 LRE F 165
2018 02 23 04 52 LRE F 155
2018 02 23 06 31 LRE X 176
2018 02 23 06 00 LRE Y 200
2018 02 23 06 24 LRE Y 109
2018 02 23 06 31 LRE Y 509
2018 02 23 11 40 LRE Y 145
2018 02 23 12 00 LRE X 371
2018 02 23 12 00 LRE Y 911
2018 02 23 12 19 LRE Y 112
2018 02 23 12 03 LRE F 142
2018 02 23 14 59 LRE X 153
2018 02 23 15 24 LRE Y 294
