YYYY MM DD HH MI LOC D MAG
2018 02 11 07 40 LRE Z 42
2018 02 11 07 40 LRE F 37
2018 02 11 09 39 LRE X 35
2018 02 11 09 39 LRE Y 218
2018 02 11 10 02 LRE Y 87
2018 02 11 10 55 LRE Y 162
2018 02 11 11 44 LRE X 54
2018 02 11 11 48 LRE X 1244
2018 02 11 11 45 LRE Y 1830
2018 02 11 11 48 LRE F 214
2018 02 11 11 53 LRE F 589
2018 02 11 13 00 LRE X 1608
2018 02 11 13 00 LRE Y 1400
2018 02 11 13 00 LRE F 718
2018 02 11 01 15 LRO Z 39
2018 02 11 01 26 LRO Z 45
2018 02 11 01 28 LRO Z 70
2018 02 11 01 15 LRO F 37
2018 02 11 01 26 LRO F 43
2018 02 11 01 28 LRO F 62
2018 02 11 02 01 LRO Y 28
2018 02 11 02 04 LRO Y 45
2018 02 11 02 17 LRO Y 57
2018 02 11 02 23 LRO Y 58
2018 02 11 02 34 LRO Y 28
2018 02 11 02 39 LRO Y 40
2018 02 11 02 53 LRO Y 42
2018 02 11 02 22 LRO Z 30
2018 02 11 02 44 LRO Z 28
2018 02 11 02 23 LRO F 27
2018 02 11 02 44 LRO F 28
2018 02 11 03 00 LRO Y 43
2018 02 11 03 02 LRO Y 489
2018 02 11 03 18 LRO Y 47
2018 02 11 03 21 LRO Y 88
2018 02 11 03 23 LRO Y 30
2018 02 11 03 25 LRO Y 85
2018 02 11 03 32 LRO Y 340
2018 02 11 03 40 LRO Y 32
2018 02 11 03 00 LRO Z 34
2018 02 11 03 01 LRO Z 40
2018 02 11 03 00 LRO F 29
2018 02 11 03 01 LRO F 35
2018 02 11 04 01 LRO Z 142
2018 02 11 04 08 LRO Z 35
2018 02 11 04 09 LRO Z 81
2018 02 11 04 39 LRO Z 34
2018 02 11 04 45 LRO Z 37
2018 02 11 04 51 LRO Z 32
2018 02 11 04 59 LRO Z 28
2018 02 11 04 01 LRO F 137
2018 02 11 04 08 LRO F 34
2018 02 11 04 09 LRO F 79
2018 02 11 04 39 LRO F 33
2018 02 11 04 45 LRO F 36
2018 02 11 04 51 LRO F 30
2018 02 11 04 59 LRO F 27
2018 02 11 05 01 LRO Z 231
2018 02 11 05 03 LRO Z 29
2018 02 11 05 57 LRO Z 42
2018 02 11 05 59 LRO Z 36
2018 02 11 05 01 LRO F 227
2018 02 11 05 03 LRO F 25
2018 02 11 05 57 LRO F 44
2018 02 11 05 59 LRO F 29
2018 02 11 06 01 LRO Z 30
2018 02 11 06 41 LRO Z 40
2018 02 11 06 55 LRO Z 34
2018 02 11 06 56 LRO Z 31
2018 02 11 06 59 LRO Z 30
2018 02 11 06 41 LRO F 38
2018 02 11 06 55 LRO F 33
2018 02 11 06 56 LRO F 30
2018 02 11 06 59 LRO F 25
2018 02 11 07 02 LRO Z 249
2018 02 11 07 03 LRO Z 36
2018 02 11 07 02 LRO F 218
2018 02 11 07 03 LRO F 31
2018 02 11 08 55 LRO Z 159
2018 02 11 08 57 LRO Z 341
2018 02 11 08 55 LRO F 152
2018 02 11 08 58 LRO F 332
2018 02 11 09 02 LRO Z 270
2018 02 11 09 10 LRO Z 215
2018 02 11 09 02 LRO F 249
2018 02 11 09 10 LRO F 209
2018 02 11 11 56 LRO Z 47
2018 02 11 11 56 LRO F 38
2018 02 11 12 05 LRO Z 31
2018 02 11 12 31 LRO Z 33
2018 02 11 12 37 LRO Z 49
2018 02 11 12 46 LRO Z 42
2018 02 11 12 55 LRO Z 39
2018 02 11 12 57 LRO Z 276
2018 02 11 12 05 LRO F 30
2018 02 11 12 31 LRO F 31
2018 02 11 12 37 LRO F 46
2018 02 11 12 46 LRO F 40
2018 02 11 12 55 LRO F 40
2018 02 11 12 57 LRO F 265
2018 02 11 13 03 LRO Z 25
2018 02 11 13 05 LRO Z 63
2018 02 11 13 30 LRO Z 39
2018 02 11 13 57 LRO Z 43
2018 02 11 13 59 LRO Z 41
2018 02 11 13 05 LRO F 56
2018 02 11 13 30 LRO F 33
2018 02 11 13 57 LRO F 37
