YEAR MONTH DAY HOUR MIN LOC D MAG
2018 02 10 02 40 LRE X 261
2018 02 10 02 46 LRE X 35
2018 02 10 02 48 LRE X 576
2018 02 10 02 35 LRE Y 41
2018 02 10 02 40 LRE Y 1447
2018 02 10 02 41 LRE F 112
2018 02 10 02 49 LRE F 43
2018 02 10 02 52 LRE F 209
2018 02 10 04 01 LRE X 228
2018 02 10 04 05 LRE X 41
2018 02 10 04 07 LRE X 33
2018 02 10 04 01 LRE Y 204
2018 02 10 04 05 LRE Y 51
2018 02 10 04 07 LRE Y 37
2018 02 10 04 01 LRE F 67
2018 02 10 08 44 LRE X 42
2018 02 10 08 48 LRE X 66
2018 02 10 08 51 LRE X 431
2018 02 10 08 50 LRE Y 416
2018 02 10 08 52 LRE F 150
2018 02 10 09 39 LRE X 64
2018 02 10 09 45 LRE X 153
2018 02 10 09 07 LRE Y 35
2018 02 10 09 37 LRE Y 714
2018 02 10 09 51 LRE F 28
2018 02 10 10 02 LRE Y 59
2018 02 10 10 09 LRE Y 195
2018 02 10 10 28 LRE Y 42
2018 02 10 10 38 LRE Y 44
2018 02 10 11 00 LRE X 170
2018 02 10 11 04 LRE X 336
2018 02 10 11 07 LRE X 79
2018 02 10 11 11 LRE X 39
2018 02 10 11 14 LRE X 65
2018 02 10 11 00 LRE Y 134
2018 02 10 11 05 LRE Y 220
2018 02 10 11 07 LRE Y 80
2018 02 10 11 11 LRE Y 29
2018 02 10 11 14 LRE Y 45
2018 02 10 11 00 LRE F 74
2018 02 10 11 05 LRE F 138
2018 02 10 16 47 LRE Y 50
2018 02 10 18 57 LRE X 60
2018 02 10 00 17 LRO Z 42
2018 02 10 00 56 LRO Z 44
2018 02 10 00 17 LRO F 39
2018 02 10 00 56 LRO F 37
2018 02 10 01 03 LRO X 31
2018 02 10 01 03 LRO Y 27
2018 02 10 01 02 LRO Z 61
2018 02 10 01 03 LRO Z 143
2018 02 10 01 02 LRO F 59
2018 02 10 01 03 LRO F 140
2018 02 10 02 15 LRO Z 42
2018 02 10 02 24 LRO Z 236
2018 02 10 02 27 LRO Z 36
2018 02 10 02 34 LRO Z 25
2018 02 10 02 49 LRO Z 35
2018 02 10 02 52 LRO Z 40
2018 02 10 02 55 LRO Z 32
2018 02 10 02 57 LRO Z 31
2018 02 10 02 15 LRO F 40
2018 02 10 02 24 LRO F 228
2018 02 10 02 27 LRO F 32
