YEAR MONTH DAY HOUR MIN LOC D MAG
2018 02 09 03 42 LRE X 26
2018 02 09 04 08 LRE Y 39
2018 02 09 04 10 LRE Y 102
2018 02 09 06 46 LRE Y 429
2018 02 09 08 33 LRE Y 140
2018 02 09 10 54 LRE Y 81
2018 02 09 13 09 LRE Y 390
2018 02 09 15 49 LRE X 158
2018 02 09 15 49 LRE Y 140
2018 02 09 18 41 LRE X 148
2018 02 09 18 47 LRE X 1026
2018 02 09 18 41 LRE Y 241
2018 02 09 18 47 LRE Y 1556
2018 02 09 18 41 LRE F 26
2018 02 09 18 43 LRE F 48
2018 02 09 18 47 LRE F 669
2018 02 09 19 00 LRE X 664
2018 02 09 19 00 LRE Y 605
2018 02 09 19 00 LRE F 313
2018 02 09 01 12 LRO Z 55
2018 02 09 01 12 LRO F 48
2018 02 09 02 57 LRO X 34
2018 02 09 02 30 LRO Z 29
2018 02 09 02 36 LRO Z 25
2018 02 09 02 56 LRO Z 38
2018 02 09 02 57 LRO Z 116
2018 02 09 02 30 LRO F 26
2018 02 09 02 36 LRO F 25
2018 02 09 02 56 LRO F 38
2018 02 09 02 57 LRO F 114
2018 02 09 03 05 LRO Z 33
2018 02 09 03 14 LRO Z 52
2018 02 09 03 05 LRO F 33
2018 02 09 03 14 LRO F 44
2018 02 09 04 10 LRO X 27
2018 02 09 04 08 LRO Y 283
2018 02 09 04 03 LRO Z 48
2018 02 09 04 06 LRO Z 32
2018 02 09 04 10 LRO Z 46
2018 02 09 04 45 LRO Z 39
2018 02 09 04 49 LRO Z 30
2018 02 09 04 55 LRO Z 28
2018 02 09 04 56 LRO Z 47
2018 02 09 04 03 LRO F 47
2018 02 09 04 06 LRO F 31
2018 02 09 04 10 LRO F 44
2018 02 09 04 45 LRO F 37
2018 02 09 04 55 LRO F 27
2018 02 09 04 56 LRO F 44
2018 02 09 05 00 LRO Z 34
2018 02 09 05 01 LRO Z 172
2018 02 09 05 05 LRO Z 53
2018 02 09 05 56 LRO Z 31
2018 02 09 05 57 LRO Z 36
2018 02 09 05 59 LRO Z 59
2018 02 09 05 00 LRO F 33
2018 02 09 05 01 LRO F 161
2018 02 09 05 05 LRO F 52
2018 02 09 05 56 LRO F 31
2018 02 09 05 57 LRO F 35
2018 02 09 05 59 LRO F 57
2018 02 09 06 05 LRO Z 105
2018 02 09 06 38 LRO Z 106
2018 02 09 06 55 LRO Z 216
2018 02 09 06 58 LRO Z 49
2018 02 09 06 05 LRO F 102
2018 02 09 06 38 LRO F 104
2018 02 09 06 55 LRO F 209
2018 02 09 06 58 LRO F 49
2018 02 09 07 02 LRO Z 182
2018 02 09 07 04 LRO Z 66
2018 02 09 07 05 LRO Z 76
2018 02 09 07 02 LRO F 175
2018 02 09 07 04 LRO F 62
2018 02 09 07 05 LRO F 70
2018 02 09 08 33 LRO Y 26
2018 02 09 08 55 LRO Z 86
2018 02 09 08 55 LRO F 78
2018 02 09 09 05 LRO Z 106
2018 02 09 09 07 LRO Z 82
2018 02 09 09 44 LRO Z 30
2018 02 09 09 05 LRO F 95
2018 02 09 09 07 LRO F 82
2018 02 09 10 01 LRO Z 277
2018 02 09 10 03 LRO Z 32
2018 02 09 10 07 LRO Z 34
2018 02 09 10 01 LRO F 268
2018 02 09 10 03 LRO F 31
2018 02 09 10 07 LRO F 33
2018 02 09 11 16 LRO Z 46
2018 02 09 11 34 LRO Z 31
2018 02 09 11 43 LRO Z 36
2018 02 09 11 16 LRO F 42
2018 02 09 11 34 LRO F 30
2018 02 09 11 43 LRO F 34
2018 02 09 12 14 LRO Z 28
2018 02 09 12 49 LRO Z 41
2018 02 09 12 14 LRO F 26
2018 02 09 12 49 LRO F 41
2018 02 09 13 54 LRO Z 30
2018 02 09 13 54 LRO F 28
2018 02 09 15 57 LRO X 26
2018 02 09 15 56 LRO Z 114
2018 02 09 15 56 LRO F 105
2018 02 09 16 02 LRO Z 193
2018 02 09 16 46 LRO Z 32
2018 02 09 16 48 LRO Z 29
2018 02 09 16 02 LRO F 183
2018 02 09 16 46 LRO F 32
2018 02 09 17 09 LRO Y 1152
2018 02 09 17 12 LRO Z 27
2018 02 09 17 24 LRO Z 30
2018 02 09 17 24 LRO F 29
2018 02 09 19 45 LRO Y 87
2018 02 09 21 53 LRO Y 47
2018 02 09 21 56 LRO Y 100
2018 02 09 22 00 LRO Y 124
2018 02 09 22 07 LRO Y 1373
2018 02 09 22 56 LRO Z 270
2018 02 09 22 56 LRO F 257
2018 02 09 23 01 LRO Z 49
2018 02 09 23 02 LRO Z 35
2018 02 09 23 01 LRO F 48
2018 02 09 23 02 LRO F 33
2018 02 09 04 08 LRS Y 71
2018 02 09 05 02 LRS Y 39
2018 02 09 06 35 LRS Y 31
2018 02 09 09 28 LRS X 198
2018 02 09 09 28 LRS Z 118
2018 02 09 15 21 LRS Y 39
2018 02 09 18 25 LRS X 52
2018 02 09 18 32 LRS X 130
2018 02 09 18 32 LRS Y 48
2018 02 09 18 32 LRS Z 101
2018 02 09 19 36 LRS Y 30
2018 02 09 19 48 LRS Y 34
2018 02 09 20 15 LRS Y 48
2018 02 09 20 16 LRS Z 44
