YYYY MM DD HH MI LOC D MAG
2018 03 05 04 41 LRE Y 167
2018 03 05 12 22 LRE X 264
2018 03 05 12 47 LRE X 260
2018 03 05 12 22 LRE Y 166
2018 03 05 12 47 LRE Y 205
2018 03 05 12 22 LRE Z 239
2018 03 05 12 47 LRE Z 238
2018 03 05 13 01 LRE X 232
2018 03 05 13 15 LRE X 236
2018 03 05 13 29 LRE X 235
2018 03 05 13 41 LRE X 228
2018 03 05 13 51 LRE X 227
2018 03 05 13 01 LRE Y 146
2018 03 05 13 15 LRE Y 148
2018 03 05 13 29 LRE Y 154
2018 03 05 13 41 LRE Y 166
2018 03 05 13 51 LRE Y 134
2018 03 05 13 01 LRE Z 214
2018 03 05 13 15 LRE Z 224
2018 03 05 13 29 LRE Z 219
2018 03 05 13 41 LRE Z 210
2018 03 05 13 51 LRE Z 199
2018 03 05 14 05 LRE X 234
2018 03 05 14 18 LRE X 238
2018 03 05 14 32 LRE X 243
2018 03 05 14 46 LRE X 229
2018 03 05 14 54 LRE X 180
2018 03 05 14 58 LRE X 168
2018 03 05 14 18 LRE Y 121
2018 03 05 14 32 LRE Y 162
2018 03 05 14 46 LRE Y 169
2018 03 05 14 54 LRE Y 217
2018 03 05 14 58 LRE Y 242
2018 03 05 14 05 LRE Z 223
2018 03 05 14 18 LRE Z 224
2018 03 05 14 32 LRE Z 223
2018 03 05 14 46 LRE Z 199
2018 03 05 14 54 LRE Z 151
2018 03 05 15 02 LRE X 240
2018 03 05 15 07 LRE X 229
2018 03 05 15 18 LRE X 232
2018 03 05 15 02 LRE Y 223
2018 03 05 15 07 LRE Y 229
2018 03 05 15 18 LRE Y 238
2018 03 05 15 02 LRE Z 153
2018 03 05 17 07 LRE X 190
2018 03 05 17 16 LRE X 233
2018 03 05 17 32 LRE X 255
2018 03 05 17 57 LRE X 256
2018 03 05 17 07 LRE Y 209
2018 03 05 17 16 LRE Y 248
2018 03 05 17 32 LRE Y 247
2018 03 05 17 57 LRE Y 242
2018 03 05 17 07 LRE Z 179
2018 03 05 17 16 LRE Z 227
2018 03 05 17 32 LRE Z 253
2018 03 05 17 57 LRE Z 259
2018 03 05 18 22 LRE X 254
2018 03 05 18 52 LRE X 272
2018 03 05 18 22 LRE Y 261
2018 03 05 18 52 LRE Y 266
2018 03 05 18 22 LRE Z 254
2018 03 05 18 52 LRE Z 272
2018 03 05 19 48 LRE X 280
2018 03 05 19 48 LRE Y 275
2018 03 05 19 48 LRE Z 278
2018 03 05 20 47 LRE X 281
2018 03 05 20 47 LRE Y 283
2018 03 05 20 47 LRE Z 276
2018 03 05 22 28 LRE X 280
2018 03 05 22 28 LRE Y 268
2018 03 05 22 28 LRE Z 281
2018 03 05 00 04 LRO Z 104
2018 03 05 00 04 LRO F 104
2018 03 05 01 57 LRO Z 213
2018 03 05 01 57 LRO F 202
2018 03 05 03 05 LRO Z 116
2018 03 05 03 05 LRO F 112
2018 03 05 04 53 LRO Y 255
2018 03 05 05 30 LRO Y 586
2018 03 05 06 00 LRO Y 543
2018 03 05 10 05 LRO Z 111
2018 03 05 10 05 LRO F 110
2018 03 05 14 09 LRO Y 1296
2018 03 05 15 49 LRO Y 752
2018 03 05 17 00 LRO Y 883
2018 03 05 19 12 LRO Y 1041
2018 03 05 16 33 LRS X 247
2018 03 05 16 45 LRS X 250
2018 03 05 16 59 LRS X 260
2018 03 05 16 33 LRS Z 233
2018 03 05 16 45 LRS Z 242
2018 03 05 16 59 LRS Z 248
2018 03 05 17 06 LRS X 462
2018 03 05 17 17 LRS X 259
2018 03 05 17 06 LRS Z 441
2018 03 05 17 17 LRS Z 250
