YYYY MM DD HH MI LOC D MAG
2018 02 20 00 00 LRO Y 163
2018 02 20 00 57 LRO Z 280
2018 02 20 00 57 LRO F 263
2018 02 20 01 12 LRO Y 127
2018 02 20 01 18 LRO Y 137
2018 02 20 01 24 LRO Y 279
2018 02 20 01 32 LRO Y 401
2018 02 20 01 56 LRO Y 106
2018 02 20 01 58 LRO Z 251
2018 02 20 01 58 LRO F 231
2018 02 20 02 06 LRO Y 199
2018 02 20 02 18 LRO Y 174
2018 02 20 02 45 LRO Y 509
2018 02 20 02 04 LRO Z 103
2018 02 20 02 04 LRO F 105
2018 02 20 04 00 LRO Y 201
2018 02 20 12 05 LRO Z 145
2018 02 20 12 05 LRO F 145
2018 02 20 13 56 LRO Z 238
2018 02 20 13 56 LRO F 228
2018 02 20 14 04 LRO Z 275
2018 02 20 14 04 LRO F 259
2018 02 20 16 00 LRO Y 373
2018 02 20 16 01 LRO Z 214
2018 02 20 16 01 LRO F 218
2018 02 20 17 57 LRO Z 254
2018 02 20 17 57 LRO F 250
2018 02 20 18 00 LRO Z 224
2018 02 20 18 00 LRO F 213
2018 02 20 19 56 LRO Z 153
2018 02 20 19 56 LRO F 145
2018 02 20 21 40 LRO Y 273
2018 02 20 21 53 LRO Y 154
2018 02 20 22 04 LRO Z 120
2018 02 20 22 04 LRO F 118
2018 02 20 23 00 LRO Y 125
2018 02 20 23 02 LRO Y 335
