YYYY MM DD HH MI LOC D MAG
2018 03 09 01 00 LRE X 1799
2018 03 09 01 00 LRE F 103
2018 03 09 02 00 LRE X 510
2018 03 09 06 00 LRE Z 578
2018 03 09 06 00 LRE F 361
2018 03 09 09 00 LRE X 235
2018 03 09 09 00 LRE Y 205
2018 03 09 10 00 LRE X 1093
2018 03 09 10 00 LRE Y 246
2018 03 09 10 00 LRE Z 117
2018 03 09 10 00 LRE F 241
2018 03 09 12 00 LRE Z 213
2018 03 09 12 00 LRE F 436
2018 03 09 13 00 LRE X 716
2018 03 09 14 00 LRE Y 860
2018 03 09 14 00 LRE Z 214
2018 03 09 14 00 LRE F 963
2018 03 09 16 00 LRE X 196
2018 03 09 16 00 LRE Z 141
2018 03 09 18 00 LRE Y 996
2018 03 09 18 00 LRE Z 820
2018 03 09 18 00 LRE F 965
2018 03 09 21 00 LRE X 585
2018 03 09 23 00 LRE F 463
2018 03 09 01 00 LRO X 1696
2018 03 09 01 00 LRO Z 99
2018 03 09 01 00 LRO F 181
2018 03 09 02 00 LRO X 504
2018 03 09 09 00 LRO X 197
2018 03 09 09 00 LRO Y 173
2018 03 09 10 00 LRO X 1101
2018 03 09 10 00 LRO Y 175
2018 03 09 10 00 LRO Z 309
2018 03 09 10 00 LRO F 197
2018 03 09 12 00 LRO Z 138
2018 03 09 12 00 LRO F 295
2018 03 09 13 00 LRO X 740
2018 03 09 13 00 LRO F 235
2018 03 09 14 00 LRO X 519
2018 03 09 14 00 LRO Y 702
2018 03 09 14 00 LRO Z 670
2018 03 09 14 00 LRO F 975
2018 03 09 16 00 LRO X 474
2018 03 09 16 00 LRO Z 210
2018 03 09 18 00 LRO Y 1327
2018 03 09 18 00 LRO Z 650
2018 03 09 18 00 LRO F 914
2018 03 09 23 00 LRO F 515
2018 03 09 00 00 LRS Z 285
2018 03 09 00 00 LRS Z 409
2018 03 09 01 00 LRS X 1432
2018 03 09 02 00 LRS X 443
2018 03 09 09 00 LRS X 115
2018 03 09 09 00 LRS Z 265
2018 03 09 10 00 LRS X 813
2018 03 09 10 00 LRS Y 216
2018 03 09 10 00 LRS Z 521
2018 03 09 10 00 LRS F 118
2018 03 09 12 00 LRS Z 110
2018 03 09 12 00 LRS F 353
2018 03 09 13 00 LRS X 667
2018 03 09 13 00 LRS F 219
2018 03 09 14 00 LRS X 752
2018 03 09 14 00 LRS Y 656
2018 03 09 14 00 LRS Z 174
2018 03 09 14 00 LRS F 994
2018 03 09 16 00 LRS X 665
2018 03 09 17 00 LRS X 1667
2018 03 09 17 00 LRS Z 1672
2018 03 09 18 00 LRS Y 1363
2018 03 09 18 00 LRS F 829
2018 03 09 23 00 LRS F 425
