YYYY MM DD HH MI LOC D MAG
2018 02 17 00 00 LRO Y 166
2018 02 17 05 06 LRO X 250
2018 02 17 05 02 LRO Y 194
2018 02 17 05 06 LRO Y 347
2018 02 17 08 55 LRO Z 262
2018 02 17 08 55 LRO F 258
2018 02 17 09 02 LRO Z 103
2018 02 17 10 03 LRO Z 134
2018 02 17 10 55 LRO Z 220
2018 02 17 10 03 LRO F 128
2018 02 17 10 55 LRO F 224
2018 02 17 11 04 LRO Z 204
2018 02 17 11 04 LRO F 197
2018 02 17 12 55 LRO Z 120
2018 02 17 12 55 LRO F 113
2018 02 17 14 01 LRO Z 182
2018 02 17 14 01 LRO F 174
2018 02 17 15 19 LRO Y 422
2018 02 17 15 04 LRO Z 105
2018 02 17 15 04 LRO F 102
2018 02 17 16 25 LRO Y 539
2018 02 17 19 02 LRO Z 238
2018 02 17 19 02 LRO F 225
2018 02 17 20 36 LRO Y 300
2018 02 17 20 45 LRO Y 669
2018 02 17 21 00 LRO Y 1388
2018 02 17 21 55 LRO Z 195
2018 02 17 21 55 LRO F 190
2018 02 17 05 06 LRS X 127
2018 02 17 05 06 LRS Y 117
