YYYY MM DD HH MI LOC D MAG
2018 02 14 02 56 LRO Z 247
2018 02 14 02 56 LRO F 234
2018 02 14 04 04 LRO Z 143
2018 02 14 04 04 LRO F 141
2018 02 14 07 55 LRO Z 248
2018 02 14 07 55 LRO F 235
2018 02 14 08 00 LRO Z 147
2018 02 14 08 00 LRO F 143
2018 02 14 10 00 LRO Z 112
2018 02 14 10 06 LRO Z 112
2018 02 14 10 00 LRO F 100
2018 02 14 10 06 LRO F 113
2018 02 14 14 55 LRO Y 733
2018 02 14 14 03 LRO Z 105
2018 02 14 15 00 LRO Y 314
2018 02 14 15 72 LRO Y 1486
2018 02 14 15 83 LRO Y 243
2018 02 14 15 90 LRO Y 215
2018 02 14 15 58 LRO Z 224
2018 02 14 15 58 LRO F 209
2018 02 14 14 19 LRS X 269
2018 02 14 14 19 LRS Y 138
2018 02 14 14 19 LRS Z 264
2018 02 14 15 02 LRS X 272
2018 02 14 15 36 LRS X 240
2018 02 14 15 56 LRS X 221
2018 02 14 15 56 LRS Y 136
2018 02 14 15 02 LRS Z 261
2018 02 14 15 36 LRS Z 225
2018 02 14 15 56 LRS Z 222
2018 02 14 16 14 LRS X 199
2018 02 14 16 43 LRS X 272
2018 02 14 16 44 LRS X 414
2018 02 14 16 43 LRS Y 178
2018 02 14 16 44 LRS Y 163
2018 02 14 16 14 LRS Z 184
2018 02 14 16 43 LRS Z 267
2018 02 14 16 44 LRS Z 395
2018 02 14 17 32 LRS X 425
2018 02 14 17 32 LRS Y 249
2018 02 14 17 32 LRS Z 398
2018 02 14 18 02 LRS X 223
2018 02 14 18 05 LRS X 267
2018 02 14 18 48 LRS X 150
2018 02 14 18 00 LRS Y 119
2018 02 14 18 05 LRS Y 143
2018 02 14 18 02 LRS Z 214
2018 02 14 18 05 LRS Z 254
2018 02 14 18 48 LRS Z 133
2018 02 14 19 41 LRS X 104
