YYYY MM DD HH MI LOC D MAG
2018 03 15 00 00 LRE X 660
2018 03 15 00 00 LRE Y 397
2018 03 15 00 00 LRE Y 469
2018 03 15 01 00 LRE X 2152
2018 03 15 01 00 LRE Z 1255
2018 03 15 03 00 LRE X 667
2018 03 15 03 00 LRE X 480
2018 03 15 03 00 LRE Y 662
2018 03 15 03 00 LRE Y 616
2018 03 15 03 00 LRE Z 480
2018 03 15 03 00 LRE F 541
2018 03 15 04 00 LRE X 1842
2018 03 15 04 00 LRE Z 2298
2018 03 15 07 00 LRE X 2639
2018 03 15 07 00 LRE Z 3079
2018 03 15 08 00 LRE Z 169
2018 03 15 11 00 LRE X 140
2018 03 15 11 00 LRE Y 377
2018 03 15 13 00 LRE X 154
2018 03 15 13 00 LRE Y 673
2018 03 15 13 00 LRE Z 400
2018 03 15 13 00 LRE Z 294
2018 03 15 13 00 LRE F 495
2018 03 15 13 00 LRE F 170
2018 03 15 20 00 LRE X 2178
2018 03 15 20 00 LRE Y 938
2018 03 15 20 00 LRE Z 2258
2018 03 15 21 00 LRE X 651
2018 03 15 21 00 LRE Y 487
2018 03 15 22 00 LRE X 2484
2018 03 15 22 00 LRE Z 1957
2018 03 15 23 00 LRE X 725
2018 03 15 23 00 LRE Z 611
2018 03 15 23 00 LRE F 862
2018 03 15 00 00 LRO X 693
2018 03 15 00 00 LRO Y 394
2018 03 15 00 00 LRO Y 375
2018 03 15 00 00 LRO Z 333
2018 03 15 00 00 LRO F 146
2018 03 15 00 00 LRO F 242
2018 03 15 00 00 LRO F 243
2018 03 15 03 00 LRO X 612
2018 03 15 03 00 LRO X 486
2018 03 15 03 00 LRO Y 597
2018 03 15 03 00 LRO Y 646
2018 03 15 03 00 LRO Z 245
2018 03 15 03 00 LRO Z 230
2018 03 15 03 00 LRO F 314
2018 03 15 08 00 LRO Y 189
2018 03 15 11 00 LRO X 184
2018 03 15 11 00 LRO Y 483
2018 03 15 11 00 LRO Z 154
2018 03 15 13 00 LRO X 194
2018 03 15 13 00 LRO Y 699
2018 03 15 13 00 LRO Z 260
2018 03 15 13 00 LRO F 480
2018 03 15 13 00 LRO F 190
2018 03 15 21 00 LRO X 625
2018 03 15 21 00 LRO Y 536
2018 03 15 22 00 LRO Y 148
2018 03 15 22 00 LRO Z 232
2018 03 15 23 00 LRO X 721
2018 03 15 23 00 LRO Z 347
2018 03 15 23 00 LRO F 797
2018 03 15 13 00 LRS Y 584
2018 03 15 13 00 LRS F 390
2018 03 15 16 00 LRS X 1001
2018 03 15 16 00 LRS Z 1320
2018 03 15 21 00 LRS X 470
2018 03 15 21 00 LRS Y 556
2018 03 15 22 00 LRS Y 106
2018 03 15 22 00 LRS Z 524
2018 03 15 23 00 LRS X 803
2018 03 15 23 00 LRS F 612
