YYYY MM DD HH MI LOC D MAG
2018 03 10 01 00 LRE X 2842
2018 03 10 01 00 LRE Y 405
2018 03 10 01 00 LRE Z 2568
2018 03 10 02 00 LRE X 2250
2018 03 10 02 00 LRE Z 2771
2018 03 10 03 00 LRE X 192
2018 03 10 05 00 LRE X 2505
2018 03 10 05 00 LRE Y 563
2018 03 10 05 00 LRE Z 2427
2018 03 10 08 00 LRE Y 479
2018 03 10 11 00 LRE Z 105
2018 03 10 13 00 LRE Z 170
2018 03 10 15 00 LRE X 308
2018 03 10 16 00 LRE X 160
2018 03 10 18 00 LRE X 258
2018 03 10 18 00 LRE Y 301
2018 03 10 18 00 LRE Z 320
2018 03 10 18 00 LRE F 288
2018 03 10 19 00 LRE X 656
2018 03 10 19 00 LRE X 793
2018 03 10 20 00 LRE Z 272
2018 03 10 08 00 LRO Y 462
2018 03 10 11 00 LRO Z 118
2018 03 10 11 00 LRO F 103
2018 03 10 18 00 LRO X 283
2018 03 10 18 00 LRO Y 328
2018 03 10 18 00 LRO Z 526
2018 03 10 18 00 LRO F 345
2018 03 10 19 00 LRO X 443
2018 03 10 19 00 LRO X 893
2018 03 10 20 00 LRO Z 402
2018 03 10 20 00 LRO F 126
2018 03 10 21 00 LRO Y 249
2018 03 10 08 00 LRS Y 284
2018 03 10 18 00 LRS X 196
2018 03 10 18 00 LRS Y 291
2018 03 10 18 00 LRS Z 270
2018 03 10 18 00 LRS F 308
2018 03 10 19 00 LRS X 230
2018 03 10 19 00 LRS X 845
2018 03 10 20 00 LRS F 157
2018 03 10 21 00 LRS Y 102
