YEAR MONTH DAY HOUR MIN LOC D MAG
2018 02 07 18 04 LRE Y 30
2018 02 07 18 07 LRE Y 176
2018 02 07 18 17 LRE Y 38
2018 02 07 18 14 LRE Z 40
2018 02 07 18 14 LRE F 42
2018 02 07 00 02 LRO Z 33
2018 02 07 00 02 LRO F 31
2018 02 07 01 01 LRO Z 62
2018 02 07 01 03 LRO Z 36
2018 02 07 01 01 LRO F 61
2018 02 07 01 03 LRO F 29
2018 02 07 03 15 LRO Z 61
2018 02 07 03 24 LRO Z 103
2018 02 07 03 34 LRO Z 26
2018 02 07 03 15 LRO F 59
2018 02 07 03 24 LRO F 99
2018 02 07 04 08 LRO Z 218
2018 02 07 04 10 LRO Z 25
2018 02 07 04 12 LRO Z 31
2018 02 07 04 13 LRO Z 31
2018 02 07 04 54 LRO Z 35
2018 02 07 04 55 LRO Z 58
2018 02 07 04 08 LRO F 206
2018 02 07 04 10 LRO F 25
2018 02 07 04 12 LRO F 31
2018 02 07 04 13 LRO F 32
2018 02 07 04 54 LRO F 36
2018 02 07 04 55 LRO F 57
2018 02 07 05 02 LRO Z 348
2018 02 07 05 11 LRO Z 36
2018 02 07 05 56 LRO Z 74
2018 02 07 05 02 LRO F 334
2018 02 07 05 11 LRO F 36
2018 02 07 05 56 LRO F 72
2018 02 07 06 01 LRO Z 70
2018 02 07 06 32 LRO Z 26
2018 02 07 06 01 LRO F 69
2018 02 07 07 06 LRO Z 41
2018 02 07 07 56 LRO Z 206
2018 02 07 07 57 LRO Z 30
2018 02 07 07 59 LRO Z 35
2018 02 07 07 06 LRO F 39
2018 02 07 07 56 LRO F 201
2018 02 07 07 57 LRO F 28
2018 02 07 07 59 LRO F 34
2018 02 07 08 00 LRO Z 28
2018 02 07 08 01 LRO Z 187
2018 02 07 08 03 LRO Z 51
2018 02 07 08 05 LRO Z 76
2018 02 07 08 00 LRO F 27
2018 02 07 08 01 LRO F 179
2018 02 07 08 03 LRO F 50
2018 02 07 08 05 LRO F 73
2018 02 07 09 56 LRO Z 36
2018 02 07 09 58 LRO Z 51
2018 02 07 09 56 LRO F 33
2018 02 07 09 58 LRO F 48
2018 02 07 10 00 LRO Z 26
2018 02 07 10 01 LRO Z 61
2018 02 07 10 03 LRO Z 27
2018 02 07 10 06 LRO Z 56
2018 02 07 10 00 LRO F 25
2018 02 07 10 01 LRO F 61
2018 02 07 10 03 LRO F 27
2018 02 07 10 06 LRO F 56
2018 02 07 11 01 LRO Z 148
2018 02 07 11 02 LRO Z 37
2018 02 07 11 03 LRO Z 90
2018 02 07 11 45 LRO Z 26
2018 02 07 11 01 LRO F 138
2018 02 07 11 02 LRO F 36
2018 02 07 11 03 LRO F 84
2018 02 07 11 45 LRO F 26
2018 02 07 12 01 LRO X 28
2018 02 07 12 01 LRO Z 29
2018 02 07 12 01 LRO Z 101
2018 02 07 12 30 LRO Z 27
2018 02 07 12 01 LRO F 27
2018 02 07 12 01 LRO F 101
2018 02 07 12 30 LRO F 28
2018 02 07 13 14 LRO Z 52
2018 02 07 13 15 LRO Z 145
2018 02 07 13 56 LRO Z 33
2018 02 07 13 14 LRO F 50
2018 02 07 13 15 LRO F 133
2018 02 07 13 56 LRO F 26
2018 02 07 14 02 LRO Z 60
2018 02 07 14 32 LRO Z 66
2018 02 07 14 02 LRO F 55
2018 02 07 14 32 LRO F 62
2018 02 07 15 42 LRO Z 26
2018 02 07 15 42 LRO F 27
2018 02 07 16 01 LRO Z 84
2018 02 07 16 02 LRO Z 47
2018 02 07 16 03 LRO Z 29
2018 02 07 16 57 LRO Z 168
2018 02 07 16 01 LRO F 71
2018 02 07 16 02 LRO F 44
2018 02 07 16 03 LRO F 31
2018 02 07 16 57 LRO F 123
2018 02 07 17 03 LRO Z 132
2018 02 07 17 56 LRO Z 232
2018 02 07 17 57 LRO Z 47
2018 02 07 17 58 LRO Z 50
2018 02 07 17 59 LRO Z 31
2018 02 07 17 03 LRO F 127
2018 02 07 17 56 LRO F 227
2018 02 07 17 57 LRO F 45
2018 02 07 17 58 LRO F 46
2018 02 07 17 59 LRO F 30
2018 02 07 18 02 LRO Z 211
2018 02 07 18 02 LRO F 180
2018 02 07 19 06 LRO Z 30
2018 02 07 19 08 LRO Z 33
2018 02 07 19 06 LRO F 28
2018 02 07 19 08 LRO F 33
2018 02 07 20 03 LRO Z 39
2018 02 07 20 04 LRO Z 35
2018 02 07 20 34 LRO Z 27
2018 02 07 20 55 LRO Z 265
2018 02 07 20 56 LRO Z 27
2018 02 07 20 03 LRO F 35
2018 02 07 20 04 LRO F 35
2018 02 07 20 34 LRO F 26
2018 02 07 20 55 LRO F 252
2018 02 07 20 56 LRO F 27
2018 02 07 21 36 LRO Z 29
2018 02 07 21 36 LRO F 29
2018 02 07 22 55 LRO Z 84
2018 02 07 22 57 LRO Z 94
2018 02 07 22 55 LRO F 79
2018 02 07 22 57 LRO F 74
2018 02 07 23 02 LRO Z 56
2018 02 07 23 02 LRO F 55
2018 02 07 03 36 LRS Y 74
