YYYY MM DD HH MI LOC D MAG
2018 03 19 00 00 LRE X 277
2018 03 19 00 00 LRE Y 242
2018 03 19 00 00 LRE Y 967
2018 03 19 00 00 LRE Z 278
2018 03 19 00 00 LRE F 99
2018 03 19 00 00 LRE F 963
2018 03 19 01 00 LRE X 282
2018 03 19 01 00 LRE Y 537
2018 03 19 01 00 LRE Y 226
2018 03 19 01 00 LRE Y 636
2018 03 19 01 00 LRE Z 277
2018 03 19 01 00 LRE F 686
2018 03 19 02 00 LRE X 279
2018 03 19 02 00 LRE Y 259
2018 03 19 02 00 LRE Z 274
2018 03 19 04 00 LRE X 279
2018 03 19 04 00 LRE Y 176
2018 03 19 04 00 LRE Y 213
2018 03 19 04 00 LRE Z 273
2018 03 19 05 00 LRE X 248
2018 03 19 05 00 LRE Y 850
2018 03 19 05 00 LRE Z 155
2018 03 19 06 00 LRE X 204
2018 03 19 07 00 LRE X 279
2018 03 19 07 00 LRE Y 199
2018 03 19 07 00 LRE Z 269
2018 03 19 08 00 LRE Y 1469
2018 03 19 11 00 LRE X 266
2018 03 19 11 00 LRE Z 220
2018 03 19 12 00 LRE X 205
2018 03 19 12 00 LRE X 199
2018 03 19 12 00 LRE X 190
2018 03 19 12 00 LRE X 212
2018 03 19 12 00 LRE X 200
2018 03 19 12 00 LRE X 212
2018 03 19 12 00 LRE X 213
2018 03 19 12 00 LRE Z 154
2018 03 19 12 00 LRE Z 140
2018 03 19 12 00 LRE Z 131
2018 03 19 12 00 LRE Z 131
2018 03 19 12 00 LRE Z 158
2018 03 19 12 00 LRE Z 157
2018 03 19 12 00 LRE Z 128
2018 03 19 13 00 LRE X 216
2018 03 19 13 00 LRE X 208
2018 03 19 13 00 LRE X 231
2018 03 19 13 00 LRE X 224
2018 03 19 13 00 LRE Y 886
2018 03 19 13 00 LRE Z 178
2018 03 19 13 00 LRE Z 124
2018 03 19 13 00 LRE Z 165
2018 03 19 13 00 LRE Z 205
2018 03 19 14 00 LRE X 200
2018 03 19 14 00 LRE X 200
2018 03 19 14 00 LRE X 178
2018 03 19 14 00 LRE X 154
2018 03 19 14 00 LRE X 170
2018 03 19 14 00 LRE X 158
2018 03 19 14 00 LRE X 220
2018 03 19 14 00 LRE X 100
2018 03 19 14 00 LRE Y 220
2018 03 19 14 00 LRE Y 100
2018 03 19 14 00 LRE Z 170
2018 03 19 14 00 LRE Z 144
2018 03 19 14 00 LRE Z 135
2018 03 19 14 00 LRE Z 120
2018 03 19 14 00 LRE Z 165
2018 03 19 15 00 LRE X 267
2018 03 19 15 00 LRE Y 193
2018 03 19 15 00 LRE Z 265
2018 03 19 16 00 LRE X 198
2018 03 19 16 00 LRE X 176
2018 03 19 16 00 LRE X 174
2018 03 19 16 00 LRE Z 121
2018 03 19 17 00 LRE X 134
2018 03 19 17 00 LRE X 115
2018 03 19 17 00 LRE X 122
2018 03 19 17 00 LRE X 100
2018 03 19 17 00 LRE X 108
2018 03 19 17 00 LRE X 110
2018 03 19 17 00 LRE X 152
2018 03 19 17 00 LRE X 160
2018 03 19 17 00 LRE X 150
2018 03 19 17 00 LRE X 150
2018 03 19 17 00 LRE X 139
2018 03 19 17 00 LRE Y 146
2018 03 19 17 00 LRE Y 175
2018 03 19 17 00 LRE Y 193
2018 03 19 17 00 LRE Y 148
2018 03 19 17 00 LRE Y 133
2018 03 19 17 00 LRE Y 131
2018 03 19 18 00 LRE X 176
2018 03 19 18 00 LRE X 133
2018 03 19 18 00 LRE X 680
2018 03 19 18 00 LRE X 131
2018 03 19 18 00 LRE X 126
2018 03 19 18 00 LRE X 130
2018 03 19 18 00 LRE X 158
2018 03 19 18 00 LRE Y 1005
2018 03 19 18 00 LRE Z 102
2018 03 19 18 00 LRE F 772
2018 03 19 19 00 LRE X 224
2018 03 19 19 00 LRE X 191
2018 03 19 19 00 LRE X 201
2018 03 19 19 00 LRE Z 145
2018 03 19 19 00 LRE Z 140
2018 03 19 22 00 LRE X 232
2018 03 19 22 00 LRE X 249
2018 03 19 22 00 LRE X 259
2018 03 19 22 00 LRE Y 213
2018 03 19 22 00 LRE Y 253
2018 03 19 22 00 LRE Y 102
2018 03 19 22 00 LRE Z 237
2018 03 19 22 00 LRE Z 242
2018 03 19 22 00 LRE Z 248
2018 03 19 23 00 LRE X 279
2018 03 19 23 00 LRE Z 276
2018 03 19 00 00 LRO Y 1118
2018 03 19 01 00 LRO X 688
2018 03 19 01 00 LRO Y 1062
2018 03 19 01 00 LRO Z 260
2018 03 19 01 00 LRO F 166
2018 03 19 02 00 LRO Z 206
2018 03 19 02 00 LRO F 196
2018 03 19 05 00 LRO X 111
2018 03 19 05 00 LRO Y 850
2018 03 19 06 00 LRO Z 118
2018 03 19 06 00 LRO F 115
2018 03 19 13 00 LRO Z 121
2018 03 19 13 00 LRO F 120
2018 03 19 15 00 LRO Y 502
2018 03 19 16 00 LRO Y 413
2018 03 19 21 00 LRO Z 149
2018 03 19 21 00 LRO F 147
2018 03 19 23 00 LRO Y 944
2018 03 19 01 00 LRS X 221
2018 03 19 01 00 LRS Y 821
2018 03 19 01 00 LRS Z 629
2018 03 19 01 00 LRS F 336
2018 03 19 05 00 LRS Y 393
2018 03 19 05 00 LRS Z 120
2018 03 19 12 00 LRS X 193
2018 03 19 12 00 LRS X 254
2018 03 19 12 00 LRS Z 160
2018 03 19 12 00 LRS Z 235
2018 03 19 16 00 LRS X 277
2018 03 19 16 00 LRS Z 274
2018 03 19 23 00 LRS Z 146
