YYYY MM DD HH MI LOC D MAG
2018 03 16 00 00 LRE X 809
2018 03 16 01 00 LRE X 2830
2018 03 16 01 00 LRE Y 2452
2018 03 16 01 00 LRE Z 2911
2018 03 16 03 00 LRE X 1186
2018 03 16 03 00 LRE Y 940
2018 03 16 03 00 LRE Z 885
2018 03 16 03 00 LRE F 183
2018 03 16 03 00 LRE F 392
2018 03 16 05 00 LRE X 2746
2018 03 16 05 00 LRE Z 2335
2018 03 16 07 00 LRE Y 418
2018 03 16 10 00 LRE X 2646
2018 03 16 10 00 LRE Z 2229
2018 03 16 13 00 LRE Z 242
2018 03 16 13 00 LRE F 144
2018 03 16 14 00 LRE Y 934
2018 03 16 14 00 LRE Z 661
2018 03 16 14 00 LRE F 745
2018 03 16 16 00 LRE X 203
2018 03 16 22 00 LRE X 322
2018 03 16 23 00 LRE X 286
2018 03 16 23 00 LRE Z 222
2018 03 16 00 00 LRO X 561
2018 03 16 03 00 LRO X 1031
2018 03 16 03 00 LRO X 229
2018 03 16 03 00 LRO Y 887
2018 03 16 03 00 LRO Z 285
2018 03 16 03 00 LRO Z 954
2018 03 16 03 00 LRO F 334
2018 03 16 03 00 LRO F 600
2018 03 16 04 00 LRO Z 115
2018 03 16 07 00 LRO Y 409
2018 03 16 12 00 LRO X 113
2018 03 16 14 00 LRO Y 920
2018 03 16 14 00 LRO Z 593
2018 03 16 14 00 LRO F 779
2018 03 16 17 00 LRO X 197
2018 03 16 23 00 LRO X 360
2018 03 16 23 00 LRO Z 437
2018 03 16 23 00 LRO F 290
2018 03 16 03 00 LRS X 932
2018 03 16 03 00 LRS Y 701
2018 03 16 03 00 LRS Z 1092
2018 03 16 03 00 LRS F 705
2018 03 16 04 00 LRS Z 189
2018 03 16 04 00 LRS Z 107
2018 03 16 07 00 LRS Y 322
2018 03 16 10 00 LRS Z 112
2018 03 16 12 00 LRS X 571
2018 03 16 13 00 LRS X 132
2018 03 16 14 00 LRS Y 908
2018 03 16 14 00 LRS Z 496
2018 03 16 14 00 LRS F 731
2018 03 16 17 00 LRS X 407
2018 03 16 20 00 LRS X 284
2018 03 16 23 00 LRS X 281
2018 03 16 23 00 LRS Z 247
2018 03 16 23 00 LRS F 164
