YYYY MM DD HH MI LOC D MAG
2018 03 03 15 51 LRE Y 1537
2018 03 03 18 25 LRE X 265
2018 03 03 18 54 LRE X 186
2018 03 03 18 25 LRE Y 261
2018 03 03 18 43 LRE Y 251
2018 03 03 18 54 LRE Y 252
2018 03 03 18 43 LRE Z 190
2018 03 03 18 54 LRE Z 217
2018 03 03 19 27 LRE X 212
2018 03 03 19 45 LRE X 257
2018 03 03 19 59 LRE X 262
2018 03 03 19 12 LRE Y 221
2018 03 03 19 27 LRE Y 243
2018 03 03 19 45 LRE Y 258
2018 03 03 19 59 LRE Y 230
2018 03 03 19 27 LRE Z 201
2018 03 03 19 45 LRE Z 259
2018 03 03 19 59 LRE Z 267
2018 03 03 19 27 LRE F 104
2018 03 03 19 45 LRE F 172
2018 03 03 19 59 LRE F 179
2018 03 03 20 11 LRE X 272
2018 03 03 20 37 LRE X 252
2018 03 03 20 55 LRE X 165
2018 03 03 20 11 LRE Y 249
2018 03 03 20 37 LRE Y 263
2018 03 03 20 55 LRE Y 239
2018 03 03 20 11 LRE Z 274
2018 03 03 20 37 LRE Z 250
2018 03 03 20 55 LRE Z 150
2018 03 03 20 11 LRE F 179
2018 03 03 20 37 LRE F 149
2018 03 03 21 15 LRE X 242
2018 03 03 21 29 LRE X 264
2018 03 03 21 42 LRE X 245
2018 03 03 21 15 LRE Y 262
2018 03 03 21 29 LRE Y 251
2018 03 03 21 42 LRE Y 188
2018 03 03 21 15 LRE Z 243
2018 03 03 21 29 LRE Z 264
2018 03 03 21 42 LRE Z 250
2018 03 03 21 15 LRE F 118
2018 03 03 21 29 LRE F 157
2018 03 03 22 11 LRE X 281
2018 03 03 22 11 LRE Y 283
2018 03 03 22 11 LRE Z 278
2018 03 03 23 16 LRE X 281
2018 03 03 23 16 LRE Y 276
2018 03 03 23 16 LRE Z 282
2018 03 03 14 37 LRO X 107
2018 03 03 14 34 LRO Y 1448
2018 03 03 18 09 LRO Y 167
2018 03 03 18 11 LRO Y 885
2018 03 03 19 56 LRO Y 186
2018 03 03 20 00 LRO Y 1322
2018 03 03 12 19 LRS Z 111
2018 03 03 18 09 LRS Y 104
