YYYY MM DD HH MI LOC D MAG
2018 02 15 00 15 LRO Y 100
2018 02 15 00 26 LRO Y 808
2018 02 15 01 01 LRO Z 275
2018 02 15 01 01 LRO F 270
2018 02 15 02 02 LRO Z 130
2018 02 15 02 05 LRO Z 99
2018 02 15 02 02 LRO F 126
2018 02 15 05 53 LRO Y 473
2018 02 15 06 00 LRO Y 1254
2018 02 15 12 57 LRO Y 426
2018 02 15 13 00 LRO Y 1115
2018 02 15 13 19 LRO Y 158
2018 02 15 14 19 LRO X 304
2018 02 15 14 22 LRO X 153
2018 02 15 14 19 LRO Y 852
2018 02 15 14 22 LRO Y 111
2018 02 15 16 01 LRO Z 133
2018 02 15 16 56 LRO Z 162
2018 02 15 16 01 LRO F 128
2018 02 15 16 56 LRO F 146
2018 02 15 17 06 LRO X 189
2018 02 15 17 07 LRO Y 133
2018 02 15 17 07 LRO Z 112
2018 02 15 18 03 LRO Y 902
2018 02 15 18 58 LRO Z 107
2018 02 15 18 58 LRO F 111
2018 02 15 20 01 LRO Z 222
2018 02 15 20 57 LRO Z 106
2018 02 15 20 01 LRO F 213
2018 02 15 20 57 LRO F 107
2018 02 15 21 02 LRO Z 151
2018 02 15 21 02 LRO F 152
2018 02 15 23 57 LRO Y 112
2018 02 15 14 19 LRS Y 216
2018 02 15 14 19 LRS Z 110
2018 02 15 14 19 LRS F 146
2018 02 15 19 11 LRS X 265
2018 02 15 19 11 LRS Z 246
