YYYY MM DD HH MI LOC D MAG
2018 03 12 00 00 LRE X 2809
2018 03 12 00 00 LRE Y 2512
2018 03 12 00 00 LRE Z 2751
2018 03 12 02 00 LRE X 453
2018 03 12 02 00 LRE Y 841
2018 03 12 04 00 LRE Y 960
2018 03 12 11 00 LRE X 272
2018 03 12 11 00 LRE X 504
2018 03 12 12 00 LRE F 270
2018 03 12 13 00 LRE Y 248
2018 03 12 16 00 LRE Y 304
2018 03 12 17 00 LRE F 149
2018 03 12 20 00 LRE X 381
2018 03 12 20 00 LRE X 626
2018 03 12 20 00 LRE Z 161
2018 03 12 20 00 LRE Z 355
2018 03 12 21 00 LRE X 2204
2018 03 12 21 00 LRE Z 2264
2018 03 12 21 00 LRE F 202
2018 03 12 22 00 LRE Z 524
2018 03 12 22 00 LRE Z 138
2018 03 12 22 00 LRE F 366
2018 03 12 00 00 LRO X 371
2018 03 12 02 00 LRO X 408
2018 03 12 02 00 LRO Y 499
2018 03 12 04 00 LRO Y 1023
2018 03 12 04 00 LRO Z 137
2018 03 12 08 00 LRO Y 110
2018 03 12 10 00 LRO Y 330
2018 03 12 11 00 LRO X 186
2018 03 12 11 00 LRO X 490
2018 03 12 12 00 LRO F 206
2018 03 12 13 00 LRO Y 287
2018 03 12 16 00 LRO Y 117
2018 03 12 17 00 LRO X 233
2018 03 12 17 00 LRO F 101
2018 03 12 21 00 LRO X 1091
2018 03 12 21 00 LRO Z 804
2018 03 12 21 00 LRO F 682
2018 03 12 22 00 LRO Z 533
2018 03 12 22 00 LRO F 521
2018 03 12 00 00 LRS X 366
2018 03 12 02 00 LRS Y 140
2018 03 12 02 00 LRS Z 175
2018 03 12 04 00 LRS Y 789
2018 03 12 04 00 LRS Z 129
2018 03 12 10 00 LRS Y 139
2018 03 12 11 00 LRS X 108
2018 03 12 11 00 LRS X 235
2018 03 12 12 00 LRS F 123
2018 03 12 13 00 LRS Y 167
2018 03 12 17 00 LRS X 2117
2018 03 12 17 00 LRS Y 542
2018 03 12 17 00 LRS Z 2043
2018 03 12 21 00 LRS X 1076
2018 03 12 21 00 LRS Y 111
2018 03 12 21 00 LRS Z 563
2018 03 12 21 00 LRS F 705
2018 03 12 22 00 LRS X 149
2018 03 12 22 00 LRS Z 407
2018 03 12 22 00 LRS F 571
