YYYY MM DD HH MI LOC D MAG
2018 02 18 00 56 LRO Z 262
2018 02 18 00 56 LRO F 256
2018 02 18 01 53 LRO Z 182
2018 02 18 01 53 LRO F 171
2018 02 18 02 34 LRO Y 736
2018 02 18 02 04 LRO Z 101
2018 02 18 02 56 LRO Z 249
2018 02 18 02 56 LRO F 238
2018 02 18 03 00 LRO Y 169
2018 02 18 03 04 LRO Y 160
2018 02 18 04 02 LRO Z 160
2018 02 18 04 05 LRO Z 135
2018 02 18 04 02 LRO F 153
2018 02 18 04 05 LRO F 133
2018 02 18 06 01 LRO Z 214
2018 02 18 06 01 LRO F 190
2018 02 18 07 03 LRO Z 106
2018 02 18 07 03 LRO F 106
2018 02 18 12 56 LRO Z 237
2018 02 18 12 56 LRO F 238
2018 02 18 13 01 LRO Z 112
2018 02 18 14 32 LRO X 252
2018 02 18 15 41 LRO Y 216
2018 02 18 16 06 LRO Y 232
2018 02 18 17 08 LRO X 161
2018 02 18 17 08 LRO Y 404
2018 02 18 19 56 LRO Z 107
2018 02 18 20 02 LRO Z 109
2018 02 18 20 02 LRO F 111
2018 02 18 23 29 LRO Y 1080
2018 02 18 16 55 LRS X 251
2018 02 18 16 55 LRS Z 209
2018 02 18 17 17 LRS X 271
2018 02 18 17 25 LRS X 299
2018 02 18 17 17 LRS Y 214
2018 02 18 17 26 LRS Y 230
2018 02 18 17 17 LRS Z 268
2018 02 18 17 25 LRS Z 290
2018 02 18 20 26 LRS X 295
2018 02 18 20 15 LRS Y 160
2018 02 18 20 26 LRS Y 124
2018 02 18 20 26 LRS Z 272
2018 02 18 21 00 LRS X 202
2018 02 18 21 00 LRS Z 154
2018 02 18 22 54 LRS Y 133
