YYYY MM DD HH MI LOC D MAG
2018 03 14 00 00 LRE X 2840
2018 03 14 00 00 LRE Y 870
2018 03 14 00 00 LRE Z 2997
2018 03 14 03 00 LRE Z 230
2018 03 14 03 00 LRE F 106
2018 03 14 04 00 LRE Z 178
2018 03 14 04 00 LRE F 285
2018 03 14 05 00 LRE X 2776
2018 03 14 05 00 LRE Y 1096
2018 03 14 05 00 LRE Z 2839
2018 03 14 05 00 LRE F 113
2018 03 14 07 00 LRE X 453
2018 03 14 09 00 LRE X 2636
2018 03 14 09 00 LRE Z 2731
2018 03 14 11 00 LRE X 385
2018 03 14 16 00 LRE X 286
2018 03 14 17 00 LRE X 392
2018 03 14 17 00 LRE Y 846
2018 03 14 17 00 LRE Z 1016
2018 03 14 17 00 LRE F 987
2018 03 14 19 00 LRE X 206
2018 03 14 21 00 LRE X 1651
2018 03 14 21 00 LRE Z 1531
2018 03 14 22 00 LRE X 587
2018 03 14 22 00 LRE Z 285
2018 03 14 22 00 LRE F 619
2018 03 14 23 00 LRE X 2010
2018 03 14 23 00 LRE Z 2061
2018 03 14 01 00 LRO Z 130
2018 03 14 01 00 LRO F 109
2018 03 14 03 00 LRO Z 130
2018 03 14 03 00 LRO F 109
2018 03 14 07 00 LRO X 404
2018 03 14 11 00 LRO X 218
2018 03 14 15 00 LRO X 181
2018 03 14 16 00 LRO X 253
2018 03 14 16 00 LRO Z 296
2018 03 14 17 00 LRO X 380
2018 03 14 17 00 LRO Y 785
2018 03 14 17 00 LRO Z 1091
2018 03 14 17 00 LRO F 985
2018 03 14 19 00 LRO X 249
2018 03 14 22 00 LRO X 576
2018 03 14 22 00 LRO Y 106
2018 03 14 22 00 LRO F 399
