YYYY MM DD HH MI LOC D MAG
2018 03 07 02 00 LRE F 138
2018 03 07 04 00 LRE X 773
2018 03 07 04 00 LRE X 625
2018 03 07 04 00 LRE Y 142
2018 03 07 04 00 LRE F 771
2018 03 07 12 00 LRE X 371
2018 03 07 12 00 LRE X 390
2018 03 07 12 00 LRE F 346
2018 03 07 14 00 LRE X 307
2018 03 07 14 00 LRE Z 326
2018 03 07 15 00 LRE Y 139
2018 03 07 22 00 LRE Z 103
2018 03 07 01 00 LRO Z 120
2018 03 07 02 00 LRO Y 99
2018 03 07 04 00 LRO X 826
2018 03 07 04 00 LRO X 556
2018 03 07 04 00 LRO Y 158
2018 03 07 04 00 LRO F 740
2018 03 07 12 00 LRO X 291
2018 03 07 12 00 LRO X 416
2018 03 07 14 00 LRO X 120
2018 03 07 15 00 LRO Y 194
2018 03 07 22 00 LRO Z 101
2018 03 07 04 00 LRS X 843
2018 03 07 04 00 LRS X 332
2018 03 07 04 00 LRS Y 116
2018 03 07 04 00 LRS Y 146
2018 03 07 04 00 LRS Z 445
2018 03 07 04 00 LRS Z 159
2018 03 07 04 00 LRS F 740
2018 03 07 12 00 LRS X 103
2018 03 07 12 00 LRS X 374
2018 03 07 14 00 LRS Z 145
2018 03 07 15 00 LRS X 111
