YYYY MM DD HH MI LOC D MAG
2018 02 19 00 53 LRO X 312
2018 02 19 00 51 LRO Y 747
2018 02 19 00 27 LRO Z 226
2018 02 19 00 27 LRO F 203
2018 02 19 02 02 LRO Z 113
2018 02 19 02 02 LRO F 114
2018 02 19 04 54 LRO X 449
2018 02 19 04 51 LRO Y 802
2018 02 19 05 00 LRO Y 626
2018 02 19 05 43 LRO Y 195
2018 02 19 06 29 LRO Y 193
2018 02 19 06 37 LRO Y 237
2018 02 19 06 50 LRO Y 145
2018 02 19 06 54 LRO Y 256
2018 02 19 07 00 LRO Y 805
2018 02 19 13 21 LRO Y 796
2018 02 19 14 46 LRO Y 1032
2018 02 19 16 18 LRO Y 514
2018 02 19 18 03 LRO Z 113
2018 02 19 18 03 LRO F 135
2018 02 19 19 51 LRO Y 256
2018 02 19 20 00 LRO Y 498
2018 02 19 03 27 LRS Y 137
2018 02 19 03 28 LRS Z 115
2018 02 19 04 54 LRS X 107
2018 02 19 14 39 LRS Z 117
2018 02 19 16 29 LRS X 227
2018 02 19 16 42 LRS X 216
2018 02 19 16 29 LRS Z 204
2018 02 19 16 42 LRS Z 181
2018 02 19 17 29 LRS X 239
2018 02 19 17 32 LRS X 282
2018 02 19 17 37 LRS X 269
2018 02 19 17 29 LRS Y 153
2018 02 19 17 32 LRS Y 225
2018 02 19 17 37 LRS Y 250
2018 02 19 17 29 LRS Z 238
2018 02 19 17 32 LRS Z 277
2018 02 19 17 37 LRS Z 267
2018 02 19 18 01 LRS X 317
2018 02 19 18 01 LRS Y 245
2018 02 19 18 01 LRS Z 316
2018 02 19 21 53 LRS Y 179
2018 02 19 21 53 LRS Z 117
